>Feature	Ctg44_length_309375			
744412	745551	gene		
			locus_tag	LWC14_05453
745551	744412	CDS		
			product	NFU2 iron-sulfur cluster scaffold homolog, mitochondrial
788216	789505	gene		
			locus_tag	LWC14_05454
788216	789505	CDS		
			product	intraflagellar transport protein 57/55
790397	791224	gene		
			locus_tag	LWC14_05455
790397	791224	CDS		
			product	EF-hand domain pair, putative
153647	154381	gene		
			locus_tag	LWC14_05456
154381	153647	CDS		
			product	hypothetical protein
443255	446704	gene		
			locus_tag	LWC14_05457
443255	446704	CDS		
			product	Sphingosine kinase
504763	505068	gene		
			locus_tag	LWC14_05458
504763	505068	CDS		
			product	hypothetical protein, conserved
505320	507239	gene		
			locus_tag	LWC14_05459
505320	507239	CDS		
			product	2OG-Fe(II) oxygenase superfamily, putative
622086	623573	gene		
			locus_tag	LWC14_05460
623573	622086	CDS		
			product	CEP19-like protein, putative
623860	625050	gene		
			locus_tag	LWC14_05461
625050	623860	CDS		
			product	splicing factor Prp31
611085	611669	gene		
			locus_tag	LWC14_05462
611669	611085	CDS		
			product	LSU ribosomal protein, mitochondrial, putative
611988	616343	gene		
			locus_tag	LWC14_05463
616343	611988	CDS		
			product	hypothetical protein
799286	799744	gene		
			locus_tag	LWC14_05464
799286	799744	CDS		
			product	LSU ribosomal protein, mitochondrial, putative
800895	802817	gene		
			locus_tag	LWC14_05465
800895	802817	CDS		
			product	Flagellum attachment zone protein 33
724070	725392	gene		
			locus_tag	LWC14_05466
725392	724070	CDS		
			product	LSU ribosomal protein, mitochondrial, putative
725837	726580	gene		
			locus_tag	LWC14_05467
726580	725837	CDS		
			product	hypothetical protein, conserved
494079	497633	gene		
			locus_tag	LWC14_05468
494079	497633	CDS		
			product	hypothetical protein, conserved
498004	498456	gene		
			locus_tag	LWC14_05469
498004	498456	CDS		
			product	Mitochondrial ATP synthase subunit c-1
695766	695837	gene		
			locus_tag	LWC14_07309
695837	695766	tRNA		
			product	tRNA-Ala(tgc)
695929	696001	gene		
			locus_tag	LWC14_07310
695929	696001	tRNA		
			product	tRNA-Arg(tct)
696061	696135	gene		
			locus_tag	LWC14_07311
696061	696135	tRNA		
			product	tRNA-Arg(cct)
>Feature	Ctg74_length_22497			
14815	17748	gene		
			locus_tag	LWC14_05470
17748	14815	CDS		
			product	Leucine-rich repeat domain containing protein
19410	21332	gene		
			locus_tag	LWC14_05471
21332	19410	CDS		
			product	hypothetical protein
>Feature	Ctg37_length_152980			
65390	65896	gene		
			locus_tag	LWC14_05472
65896	65390	CDS		
			product	hypothetical protein
76661	77332	gene		
			locus_tag	LWC14_05473
77332	76661	CDS		
			product	Bromodomain, putative
66523	69564	gene		
			locus_tag	LWC14_05474
69564	66523	CDS		
			product	hypothetical protein, conserved
118997	121060	gene		
			locus_tag	LWC14_05475
121060	118997	CDS		
			product	phytoene synthase, putative
357	1334	gene		
			locus_tag	LWC14_05476
1334	357	CDS		
			product	hypothetical protein
14322	15221	gene		
			locus_tag	LWC14_05477
15221	14322	CDS		
			product	Octanoyltransferase, putative
81770	82678	gene		
			locus_tag	LWC14_05478
82678	81770	CDS		
			product	short-chain dehydrogenase, putative
125151	126617	gene		
			locus_tag	LWC14_05479
126617	125151	CDS		
			product	Protein of unknown function (DUF2009), putative
122104	124179	gene		
			locus_tag	LWC14_05480
124179	122104	CDS		
			product	signal recognition particle receptor alpha subunit, putative
72319	72780	gene		
			locus_tag	LWC14_05481
72780	72319	CDS		
			product	hypothetical protein, conserved
86976	90431	gene		
			locus_tag	LWC14_05482
90431	86976	CDS		
			product	hypothetical protein
116944	118077	gene		
			locus_tag	LWC14_05483
118077	116944	CDS		
			product	Domain of unknown function (DUF3846)/TPR repeat, putative
94370	95029	gene		
			locus_tag	LWC14_05484
95029	94370	CDS		
			product	hypothetical protein
27734	28441	gene		
			locus_tag	LWC14_05485
28441	27734	CDS		
			product	cyclophilin type peptidyl-prolyl cis-trans isomerase, putative
38793	42230	gene		
			locus_tag	LWC14_05486
42230	38793	CDS		
			product	nucleic acid binding protein, putative
58081	58470	gene		
			locus_tag	LWC14_05487
58470	58081	CDS		
			product	60S ribosomal protein L22
96612	99755	gene		
			locus_tag	LWC14_05488
99755	96612	CDS		
			product	2-oxoglutarate dehydrogenase E1 component, putative
34763	36268	gene		
			locus_tag	LWC14_05489
36268	34763	CDS		
			product	CobW/HypB/UreG, nucleotide-binding domain containing protein, putative
12375	14003	gene		
			locus_tag	LWC14_05490
14003	12375	CDS		
			product	expression site-associated gene (ESAG) protein, putative
59008	63153	gene		
			locus_tag	LWC14_05491
63153	59008	CDS		
			product	Enoyl-CoA hydratase/isomerase family, putative
79087	79470	gene		
			locus_tag	LWC14_05492
79470	79087	CDS		
			product	hypothetical protein, conserved
29212	30045	gene		
			locus_tag	LWC14_05493
30045	29212	CDS		
			product	hypothetical protein, conserved
75550	76104	gene		
			locus_tag	LWC14_05494
76104	75550	CDS		
			product	LSU ribosomal protein, mitochondrial, putative
20111	20827	gene		
			locus_tag	LWC14_05495
20827	20111	CDS		
			product	ATP synthase, putative
52886	53893	gene		
			locus_tag	LWC14_05496
53893	52886	CDS		
			product	hypothetical protein, conserved
22805	24163	gene		
			locus_tag	LWC14_05497
24163	22805	CDS		
			product	TFIIH basal transcription factor subunit
56908	57648	gene		
			locus_tag	LWC14_05498
57648	56908	CDS		
			product	Mitochondrial ribosomal protein L20
83476	84510	gene		
			locus_tag	LWC14_05499
84510	83476	CDS		
			product	vacuolar sorting-associated protein-like, putative
32743	34389	gene		
			locus_tag	LWC14_05500
34389	32743	CDS		
			product	tubulin binding cofactor c, putative
108464	109234	gene		
			locus_tag	LWC14_05501
109234	108464	CDS		
			product	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative
44165	46948	gene		
			locus_tag	LWC14_05502
46948	44165	CDS		
			product	DNA topoisomerase III, putative
16164	18851	gene		
			locus_tag	LWC14_05503
18851	16164	CDS		
			product	hypothetical protein, conserved
50741	52438	gene		
			locus_tag	LWC14_05504
52438	50741	CDS		
			product	hypothetical protein, conserved
102051	103049	gene		
			locus_tag	LWC14_05505
103049	102051	CDS		
			product	Protein of unknown function (DUF2870), putative
100362	101180	gene		
			locus_tag	LWC14_05506
101180	100362	CDS		
			product	Small acidic protein family, putative
63800	64693	gene		
			locus_tag	LWC14_05507
64693	63800	CDS		
			product	hypothetical protein, conserved
24796	27294	gene		
			locus_tag	LWC14_05508
27294	24796	CDS		
			product	Component of motile flagella 63
73584	75092	gene		
			locus_tag	LWC14_05509
75092	73584	CDS		
			product	hypothetical protein, conserved
149913	150623	gene		
			locus_tag	LWC14_05510
149913	150623	CDS		
			product	hypothetical protein
21420	21779	gene		
			locus_tag	LWC14_05511
21779	21420	CDS		
			product	hypothetical protein
56068	56508	gene		
			locus_tag	LWC14_05512
56508	56068	CDS		
			product	hypothetical protein, conserved
77833	78138	gene		
			locus_tag	LWC14_05513
78138	77833	CDS		
			product	Mitoribosomal LSU assembly factor 19
48878	49657	gene		
			locus_tag	LWC14_05514
49657	48878	CDS		
			product	14-3-3 protein 1
70125	71735	gene		
			locus_tag	LWC14_05515
71735	70125	CDS		
			product	actin-like protein, putative
31746	32354	gene		
			locus_tag	LWC14_05516
32354	31746	CDS		
			product	ADP-ribosylation factor GTPase activating protein, putative
79982	80206	gene		
			locus_tag	LWC14_05517
80206	79982	CDS		
			product	60S ribosomal protein L29, putative
80875	81099	gene		
			locus_tag	LWC14_05518
81099	80875	CDS		
			product	60S ribosomal protein L29, putative
105677	106504	gene		
			locus_tag	LWC14_05519
106504	105677	CDS		
			product	hypothetical protein, conserved
107052	107477	gene		
			locus_tag	LWC14_05520
107477	107052	CDS		
			product	hypothetical protein
115373	116440	gene		
			locus_tag	LWC14_05521
116440	115373	CDS		
			product	polyubiquitin, putative
132082	132453	gene		
			locus_tag	LWC14_05522
132453	132082	CDS		
			product	hypothetical protein, conserved
133005	134177	gene		
			locus_tag	LWC14_05523
134177	133005	CDS		
			product	hypothetical protein, conserved
134829	135440	gene		
			locus_tag	LWC14_05524
135440	134829	CDS		
			product	LSU ribosomal protein, mitochondrial, putative
135892	136611	gene		
			locus_tag	LWC14_05525
136611	135892	CDS		
			product	NUDIX hydrolase 3, putative
127944	128969	gene		
			locus_tag	LWC14_05526
128969	127944	CDS		
			product	cystathionine beta-synthase, putative
131134	131442	gene		
			locus_tag	LWC14_05527
131442	131134	CDS		
			product	EF-hand domain pair, putative
91378	92043	gene		
			locus_tag	LWC14_05528
92043	91378	CDS		
			product	Charged multivesicular body protein 3, putative
92442	93479	gene		
			locus_tag	LWC14_05529
93479	92442	CDS		
			product	glycosyl transferase-like protein
>Feature	Ctg40_length_455356			
210136	216606	gene		
			locus_tag	LWC14_05530
210136	216606	CDS		
			product	phosphatidylinositol (3,5) kinase, putative
181047	184913	gene		
			locus_tag	LWC14_05531
181047	184913	CDS		
			product	membrane transporter protein, putative
311119	313521	gene		
			locus_tag	LWC14_05532
313521	311119	CDS		
			product	translation initiation factor eIF2B delta subunit, putative
154225	155583	gene		
			locus_tag	LWC14_05533
154225	155583	CDS		
			product	hypothetical protein, conserved
429975	431567	gene		
			locus_tag	LWC14_05534
429975	431567	CDS		
			product	Mitoribosomal SSU assembly factor 17
273341	274063	gene		
			locus_tag	LWC14_05535
274063	273341	CDS		
			product	Emopamil binding protein, putative
22567	25077	gene		
			locus_tag	LWC14_05536
22567	25077	CDS		
			product	RNA-binding protein, putative
436812	436979	gene		
			locus_tag	LWC14_05537
436812	436979	CDS		
			product	hypothetical protein
438958	439143	gene		
			locus_tag	LWC14_05538
438958	439143	CDS		
			product	hypothetical protein
318234	319724	gene		
			locus_tag	LWC14_05539
319724	318234	CDS		
			product	hypothetical protein, conserved
32013	37454	gene		
			locus_tag	LWC14_05540
32013	37454	CDS		
			product	Nucleoporin NUP158
15739	18744	gene		
			locus_tag	LWC14_05541
15739	18744	CDS		
			product	hypothetical protein, conserved
191349	194849	gene		
			locus_tag	LWC14_05542
191349	194849	CDS		
			product	hypothetical protein, conserved
13570	15291	gene		
			locus_tag	LWC14_05543
13570	15291	CDS		
			product	hypothetical protein, conserved
142439	144952	gene		
			locus_tag	LWC14_05544
142439	144952	CDS		
			product	hypothetical protein, conserved
384871	388383	gene		
			locus_tag	LWC14_05545
384871	388383	CDS		
			product	Divergent AAA domain containing protein, putative
391017	394109	gene		
			locus_tag	LWC14_05546
391017	394109	CDS		
			product	CBF/Mak21 family, putative
415769	422257	gene		
			locus_tag	LWC14_05547
415769	422257	CDS		
			product	diacylglycerol acyltransferase, putative
187678	187962	gene		
			locus_tag	LWC14_05548
187678	187962	CDS		
			product	Dithiol glutaredoxin 1
53086	55290	gene		
			locus_tag	LWC14_05549
53086	55290	CDS		
			product	TFIIF-like transcription factor subunit 1
292120	293319	gene		
			locus_tag	LWC14_05550
293319	292120	CDS		
			product	hypothetical protein, conserved
380964	383216	gene		
			locus_tag	LWC14_05551
380964	383216	CDS		
			product	choline kinase
139943	141916	gene		
			locus_tag	LWC14_05552
139943	141916	CDS		
			product	Ring finger domain/PHD-finger, putative
30807	31415	gene		
			locus_tag	LWC14_05553
30807	31415	CDS		
			product	hypothetical protein, conserved
134140	135270	gene		
			locus_tag	LWC14_05554
134140	135270	CDS		
			product	radial spoke protein 3
160979	162883	gene		
			locus_tag	LWC14_05555
160979	162883	CDS		
			product	hypothetical protein, conserved
370826	373717	gene		
			locus_tag	LWC14_05556
370826	373717	CDS		
			product	STE/STE11 serine/threonine-protein kinase, putative
395015	396022	gene		
			locus_tag	LWC14_05557
395015	396022	CDS		
			product	proteasome regulatory non-ATP-ase subunit 3
316126	317493	gene		
			locus_tag	LWC14_05558
317493	316126	CDS		
			product	hypothetical protein, conserved
260312	264088	gene		
			locus_tag	LWC14_05559
264088	260312	CDS		
			product	vesicular-fusion protein SEC18, putative
432538	434013	gene		
			locus_tag	LWC14_05560
432538	434013	CDS		
			product	amino acid transporter, putative
275549	278488	gene		
			locus_tag	LWC14_05561
278488	275549	CDS		
			product	hypothetical protein
287022	289634	gene		
			locus_tag	LWC14_05562
289634	287022	CDS		
			product	intraflagellar transport protein 88
440557	441405	gene		
			locus_tag	LWC14_05563
440557	441405	CDS		
			product	hypothetical protein
280195	281130	gene		
			locus_tag	LWC14_05564
281130	280195	CDS		
			product	guide RNA-binding protein of 21 kDa
166035	167318	gene		
			locus_tag	LWC14_05565
166035	167318	CDS		
			product	UBA/TS-N domain containing protein, putative
255296	257665	gene		
			locus_tag	LWC14_05566
257665	255296	CDS		
			product	vesicular transport protein (CDC48 homologue), putative
357950	360031	gene		
			locus_tag	LWC14_05567
357950	360031	CDS		
			product	arginyl-tRNA synthetase, putative
300010	300750	gene		
			locus_tag	LWC14_05568
300750	300010	CDS		
			product	hypothetical protein, conserved
307469	309766	gene		
			locus_tag	LWC14_05569
309766	307469	CDS		
			product	Ring finger domain containing protein, putative
145224	147305	gene		
			locus_tag	LWC14_05570
145224	147305	CDS		
			product	Domain of unknown function (DUF4470)/Domain of unknown function (DUF4471), putative
353392	355662	gene		
			locus_tag	LWC14_05571
353392	355662	CDS		
			product	zinc finger protein family member, putative
167986	168972	gene		
			locus_tag	LWC14_05572
167986	168972	CDS		
			product	NADH-cytochrome b5 reductase, putative
388936	389571	gene		
			locus_tag	LWC14_05573
388936	389571	CDS		
			product	Snf7, putative
156041	159022	gene		
			locus_tag	LWC14_05574
156041	159022	CDS		
			product	Mitochondrial SSU ribosomal protein, putative
265514	270913	gene		
			locus_tag	LWC14_05575
270913	265514	CDS		
			product	hypothetical protein, conserved
64493	66439	gene		
			locus_tag	LWC14_05576
64493	66439	CDS		
			product	Nucleolar protein 60
138273	139262	gene		
			locus_tag	LWC14_05577
138273	139262	CDS		
			product	cell-division control protein 2 homolog 6, putative
10023	12188	gene		
			locus_tag	LWC14_05578
10023	12188	CDS		
			product	hypothetical protein
321714	325229	gene		
			locus_tag	LWC14_05579
325229	321714	CDS		
			product	hypothetical protein
414627	415034	gene		
			locus_tag	LWC14_05580
414627	415034	CDS		
			product	DNA-directed RNA polymerase II, putative
152261	153658	gene		
			locus_tag	LWC14_05581
152261	153658	CDS		
			product	hypothetical protein, conserved
231424	232563	gene		
			locus_tag	LWC14_05582
232563	231424	CDS		
			product	hypothetical protein
258357	259829	gene		
			locus_tag	LWC14_05583
259829	258357	CDS		
			product	cysteine desulfurase
407205	409775	gene		
			locus_tag	LWC14_05584
407205	409775	CDS		
			product	hypothetical protein, conserved
136170	137006	gene		
			locus_tag	LWC14_05585
136170	137006	CDS		
			product	hypothetical protein
148652	150691	gene		
			locus_tag	LWC14_05586
148652	150691	CDS		
			product	hypothetical protein, conserved
45953	51370	gene		
			locus_tag	LWC14_05587
45953	51370	CDS		
			product	ribokinase, putative
423374	428944	gene		
			locus_tag	LWC14_05588
423374	428944	CDS		
			product	diacylglycerol acyltransferase, putative
294371	298549	gene		
			locus_tag	LWC14_05589
298549	294371	CDS		
			product	hypothetical protein
188776	191019	gene		
			locus_tag	LWC14_05590
188776	191019	CDS		
			product	class I transcription factor A, subunit 1
325694	327571	gene		
			locus_tag	LWC14_05591
325694	327571	CDS		
			product	hypothetical protein
302566	303828	gene		
			locus_tag	LWC14_05592
303828	302566	CDS		
			product	protein phosphatase 2C, putative
169534	170136	gene		
			locus_tag	LWC14_05593
169534	170136	CDS		
			product	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial
